"","country.x","country_code","iso","designation","Country","country_emissions","global_emissions","emissions_share","readiness_2021","vulnerability_2021","gdp_reformed","gdp_2021","country.y","renewable_share_2020","env_exposure_2022","emissions_share_scaled","readiness_2021_scaled","vulnerability_2021_scaled","gdp_reformed_scaled","renewable_share_2020_scaled","env_exposure_2022_scaled"
"77","Guyana","336","GUY","emerging_mkt","Guyana",104.90019,1693867.357528,6.19294005128533e-05,0.321524527403582,0.422465768898407,8140346715.33983,8044498801,"Guyana",0.0780517776177202,3.3,0.000248138641342736,0.275479068282928,0.41081464414723,0.000235848865960607,0.92194822238228,0.395061728395062
"78","Hungary","944","HUN","emerging_mkt","Hungary",5058.6615,1693867.357528,0.00298645668890067,0.500534578388166,0.347832061107216,218224197999.039,182275444032,"Hungary",0.15828800458059,4.1,0.0119895069103598,0.54353776197758,0.238834543125414,0.00634516079232112,0.84171199541941,0.493827160493827
"79","India","534","IND","emerging_mkt","India",57105.388563,1693867.357528,0.0337130226338021,0.389243162219222,0.497982320637056,1575153417140,3150306834280,"India",0.185762133046263,7.5,0.135350272882287,0.376884373111476,0.584829101973282,0.0458051374210347,0.814237866953737,0.91358024691358
"80","Indonesia","536","IDN","emerging_mkt","Indonesia",14933.863878,1693867.357528,0.00881643052605619,0.392072477529295,0.440161245215153,883932543196.998,1186505455721,"Indonesia",0.180685223308154,6.1,0.0353956382508242,0.381121132790036,0.451590720998424,0.0257041924739303,0.819314776691846,0.740740740740741
"81","Islamic Republic of Iran","429","IRN","emerging_mkt","Iran",19546.581041,1693867.357528,0.0115396172871091,0.380676903126441,0.379460480550637,304226305741.633,359096907773,"Iran, Islamic Rep. of",0.0675865835805395,5,0.0463286662153061,0.364056823989898,0.311716608508771,0.00884613218690226,0.93241341641946,0.604938271604938
"82","Iraq","433","IRQ","emerging_mkt","Iraq",4777.052425,1693867.357528,0.00282020454775842,0.300762103892975,0.440756544087372,129474002206.264,207691599310,"Iraq",0.0406668968011447,7,0.0113220391720985,0.244388366428049,0.452962481335842,0.00376427403538789,0.959333103198855,0.851851851851852
"83","Jamaica","343","JAM","emerging_mkt","Jamaica",459.888969,1693867.357528,0.000271502350497594,0.407936091387755,0.429951759523551,9572681352.29726,14657586359,"Jamaica",0.135318833128461,4.8,0.00108953040908774,0.404876109590424,0.428064777660128,0.000277501658531923,0.864681166871539,0.580246913580247
"84","Jordan","439","JOR","emerging_mkt","Jordan",726.420793,1693867.357528,0.000428853410375725,0.409060605913051,0.369473976187504,28687233654.3695,45116317042,"Jordan",0.145404505432029,3.6,0.00172126215899655,0.406560014449585,0.28870448596983,0.000833359529722582,0.854595494567971,0.432098765432099
"85","Kazakhstan","916","KAZ","emerging_mkt","Kazakhstan",14219.758512,1693867.357528,0.00839484771272295,0.517561575966312,0.32212703071625,214416164075.345,197112255361,"Kazakhstan, Rep. of",0.129363168546446,4.5,0.0337030710154668,0.569034848332428,0.179601873943609,0.00623442183297772,0.870636831453554,0.54320987654321
"86","Kosovo","967","UVK","emerging_mkt",NA,491.16402,1693867.357528,0.000289966045934551,0.408639120435922,0.419955665541114,32117073474.5489,39725383601,NA,0.250402982311001,3.45,0.00116365830271112,0.405928860803244,0.405030557549653,0.000933100472164803,0.749597017688999,0.41358024691358
"87","Kuwait","443","KWT","emerging_mkt","Kuwait",3010.456705,1693867.357528,0.00177726826815614,0.463856448767189,0.355570113990368,136797422274,136797422274,"Kuwait",0.000805765078386099,1.7,0.00713486711576267,0.48861407775267,0.256665509265806,0.00397724165421332,0.999194234921614,0.197530864197531
